origen,destino,distancia_metros,tiempo_minutos,nombre_calle
181285629,181285637,36.48346150883608,0.07,Sin nombre
181285629,2922174405,107.7173958716635,0.22,Sin nombre
181285633,2922155822,108.92564560940053,0.22,Sin nombre
181285633,2922173097,38.865959121240586,0.08,Sin nombre
181285635,3400268949,6.589772071222158,0.01,Sin nombre
181285636,6294780173,7.561583546101471,0.02,Sin nombre
181285636,3474378535,67.05262131213473,0.13,Sin nombre
181285636,2922174407,68.854798327746,0.14,Sin nombre
181285637,2922174403,108.05530483208268,0.22,Sin nombre
181285633,181285637,40.21790362457984,0.08,Sin nombre
181285636,181285638,45.065365229546934,0.09,Sin nombre
181285638,2922174404,57.622781444622106,0.12,Sin nombre
273413079,821402819,14.055850264743226,0.03,Sin nombre
273413079,821565344,214.05056716871024,0.43,Sin nombre
273413079,273413150,139.08977639280775,0.28,Sin nombre
492820352,6030015803,12.067945759717894,0.02,Sin nombre
492820358,822559923,14.276986656507264,0.03,Sin nombre
492820358,821687856,41.902004733258266,0.08,Sin nombre
492820378,817392949,20.46111158181615,0.04,Sin nombre
492820378,822494072,214.80317825592772,0.43,Sin nombre
492820398,822493981,50.48759828262653,0.1,Sin nombre
492820398,822494131,24.52960711211371,0.05,Sin nombre
492820404,1946304105,10.951649369108953,0.02,Sin nombre
493839482,1578885786,18.170857684043966,0.04,Sin nombre
493839482,1273722353,40.26377939055902,0.08,Sin nombre
493839484,1847299735,11.616522681939083,0.02,Sin nombre
493839484,1941642786,216.70636118029364,0.43,Sin nombre
493839494,817345816,9.72467761170876,0.02,Sin nombre
493839494,817345793,18.331293663125958,0.04,Sin nombre
499564329,1804902023,24.131802052677877,0.05,Sin nombre
499564329,1941643844,22.292143755183552,0.04,Sin nombre
499564343,821789845,53.2521103632246,0.11,Sin nombre
499564343,4270646799,11.560402486650762,0.02,Sin nombre
499564343,1941643464,260.17710146361463,0.52,Sin nombre
499564343,1941642811,423.6040740945514,0.85,Sin nombre
499564364,1941642681,58.29555495115032,0.12,Sin nombre
499564364,1941642811,108.0766452844201,0.22,Sin nombre
499564364,1941642688,111.33379959849223,0.22,Sin nombre
499564386,821789721,12.742094571035466,0.03,Sin nombre
499564386,821789681,143.31381635378764,0.29,Sin nombre
499564386,821789691,51.5136240594052,0.1,Sin nombre
499564389,1946305957,56.273668088710565,0.11,Sin nombre
499564389,499564391,131.90059391984136,0.26,Sin nombre
499564389,1946306098,33.396008375486424,0.07,Sin nombre
499564391,1946305986,23.74995674323861,0.05,Sin nombre
499564391,1754951832,88.41990066992344,0.18,Sin nombre
499564394,1754951832,42.9557753643431,0.09,Sin nombre
499564394,1754951830,41.270708945359715,0.08,Sin nombre
499564394,1946305605,20.76984607248714,0.04,Sin nombre
499564487,817600771,55.01342559135156,0.11,Sin nombre
499564487,817600844,175.82170159159054,0.35,Sin nombre
499564495,817299741,20.246150370287623,0.04,Sin nombre
499564495,817111198,136.1763938899869,0.27,Sin nombre
499564501,499564506,16.921597320957115,0.03,Sin nombre
499564501,816743662,58.98216473336147,0.12,Sin nombre
499564506,4357685789,14.50844492286195,0.03,Sin nombre
499564506,1968682159,175.93693230046262,0.35,Sin nombre
499564518,1975409970,9.528855923908424,0.02,Sin nombre
499564518,1273634161,59.47157273059379,0.12,Sin nombre
499564529,1977031457,129.26199256287728,0.26,Sin nombre
